Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Part of speech
,為る,する,する,Verb
,居る,いる,いる,Verb
,有る,ある,ある,Verb
,言う,いう,いう,Verb
,事,こと,こと,Noun
,成る,なる,なる,Verb
,無い,ない,ない,Adjective (-i)
,様,よう,よう,Adjectival Noun
,其の,その,その,Determiner
,一,一,いち,Noun
,物,もの,もの,Noun
30,人,人,ひと,Noun
,其れ,それ,それ,Pronoun
,此の,この,この,Determiner
,二,二,に,Noun
,来る,来る,くる,Verb
39,思う,思う,おもう,Verb
,行く,いく,いく,Verb
,三,三,さん,Noun
,何,何,なに,Pronoun
,見る,見る,みる,Verb
,良い,よい,よい,Adjective (-i)
,出来る,できる,できる,Verb
,私■代名詞,わたし,わたし,Pronoun
48,時,時,とき,Noun
50,そう,そう,そう,Adverb
,十,十,じゅう,Noun
53,此れ,これ,これ,Pronoun
55,方,方,ほう,Noun
59,中,中,ちゅう,Noun
,五,五,ご,Noun
63,所,ところ,ところ,Noun
,拠る,よる,よる,Verb
,四,四,よん,Noun
67,為,ため,ため,Noun
69,どう,どう,どう,Adverb
70,自分,自分,じぶん,Noun
,日本,日本,にっぽん,Noun
,日,日,ひ,Noun
,仕舞う,しまう,しまう,Verb
80,彼,彼,かれ,Pronoun
81,千,千,せん,Noun
,分かる,わかる,わかる,Verb
,持つ,持つ,もつ,Verb
,考える,考える,かんがえる,Verb
,二十,二十,にじゅう,Noun
88,今,今,いま,Noun
,六,六,ろく,Noun
,遣る,やる,やる,Verb
,出る,出る,でる,Verb
95,場合,場合,ばあい,Noun
96,前,前,まえ,Noun
,就く,つく,つく,Verb
,八,八,はち,Noun
,七,七,なな,Noun
102,上,うえ,うえ,Noun
,取る,とる,とる,Verb
,聞く,聞く,きく,Verb
109,家,家,いえ,Noun
,下さる,下さる,くださる,Verb
112,気,気,き,Noun
,知る,知る,しる,Verb
,九,九,きゅう,Noun
116,呉れる,くれる,くれる,Verb
117,内,うち,うち,Noun
118,九百,九百,きゅうひゃく,Noun
,三十,三十,さんじゅう,Noun
,入る,入る,はいる,Verb
,置く,置く／おく,おく,Verb
,使う,使う,つかう,Verb
123,他,他,た／ほか,Noun
124,子供,子ども,こども,Noun
126,間,間,あいだ,Noun
129,もう,もう,もう,Adverb
130,其処,そこ,そこ,Pronoun
131,問題,問題,もんだい,Noun
132,訳,わけ,わけ,Noun
,対する,対する,たいする,Verb
134,必要,必要,ひつよう,Noun
135,度,度,ど,Noun
136,同じ,同じ,おなじ,Determiner
137,此処,ここ,ここ,Pronoun
138,手,手,て,Noun
139,多い,多い,おおい,Adjective (-i)
140,時間,時間,じかん,Noun
,於く,おく,おく,Verb
,出す,出す,だす,Verb
144,人間,人間,にんげん,Noun
,私,わたし,わたし,Pronoun
147,貴方,あなた,あなた,Pronoun
148,万,万,まん,Noun
149,こう,こう,こう,Adverb
150,関係,関係,かんけい,Noun
151,話,話,はなし,Noun
152,国,国,くに,Noun
,作る,つくる,つくる,Verb
154,男,男,おとこ,Noun
155,百,百,ひゃく,Noun
156,社会,社会,しゃかい,Noun
157,そんな,そんな,そんな,Determiner
158,僕,僕,ぼく,Pronoun
,行う,行う,おこなう,Verb
